IMPORTANT: Structure 2011 Speaker Information Request,Publish,Photo Ready?,List on front page?,Gender,First Name,Last Name,Title,Company,Tagline,Order (front page),Order (speaker page),Type (default: speaker),Bio Ready?,Biography,Featured,Short Desc,timestamp,P Twitter,P Facebook,P LinkedIn,
y,y,y,y,m,David,Husak,Founder and CEO,Plexxi,"Founder and CEO, Plexxi",,,Speaker,y,"David has been revolutionizing enterprise networks his entire career. Prior to Plexxi, Dave co-founded Reva Systems Corp. in 2003 and served as its Chief Technical Officer. He had previously founded C-Port Corp., where he was CTO. C-Port delivered the category-creating C-5 network processor in 1999. Prior to that, he was the founding engineer and system architect at Synernetics, the company that delivered the world’s first enterprise-scale switched-Ethernet systems. He stared his career at Apollo Computer. Dave has 13 patents covering a wide range of networking and communication engineering inventions, with several more pending. He holds a degree from MIT.",,,,@DaveHusak ,,http://www.linkedin.com/pub/david-husak/1/32/93/,
y,y,y,y,m,Arne,Josefsberg,CTO,ServiceNow,"CTO, ServiceNow",,,Speaker,y,"Arne Josefsberg has served as ServiceNow's Chief Technology Officer since September 2011. As chief technology officer at ServiceNow, Arne is responsible for leading continued improvements to the ServiceNow Platform and driving expansion of the company's cloud strategy. Prior to joining ServiceNow, Josefsberg held various positions with Microsoft Corporation over the last 25 years, most recently as general manager of Windows Azure Infrastructure from November 2009 to September 2011, and as General Manager of Infrastructure Services, Global Foundation Services from March 2006 to October 2009. Josefsberg holds a Master of Science degree in Physics from the Lund Institute of Technology, Sweden.",,,,@servicenow,,http://www.linkedin.com/profile/view?id=7662895&locale=en_US&trk=tyah,
y,y,y,y,m,John,Kenevey,Program Manager,Facebook,"Program Manager, Facebook",,,Speaker,y,"John has 18 years of experience in the technology sector spanning startups and small, medium, large cap technology companies. In 2011 John initiated, orchestrated and founded the Open Compute Project, raising $1M in donations and seeding the board with industry luminaries. Two years into the project, OCP has gained traction across the supplier eco-system with the likes of HP, Dell, AMD and Intel joining and contributing to the project. Currently John has moved his focus on building out an OCP incubation channel to exploit the growing opportunity that open compute has provided. John advises several startups in Silicon Valley. John has a Masters in Economics from University College Dublin.",y,,,@Kenevey,https://www.facebook.com/jkenevey,,
y,y,y,y,m,Ben,Kepes,"Industry Commentator, Diversity Limited and Analyst",GigaOM Research,"Industry Commentator, Diversity Limited and Analyst, GigaOM Research",,,Speaker,y,"Ben Kepes is a technology evangelist, an invester, a commentator and a business adviser. His business interests include a diverse range of industries from manufacturing to property to technology. As a technology commentator he has a broad presence both in the traditional media and extensively online. Ben covers the convergence of technology, mobile, ubiquity and agility, all enabled by the Cloud. His areas of interest extend to enterprise software, software integration, financial/accounting software, platforms and infrastructure as well as articulating technology simply for everyday users. He is a globally recognized subject matter expert with an extensive following. Often included in lists of the most influential technology thinkers globally, Ben is also in demand as a speaker at conferences and events all around the world.",,,,@benkepes,,nz.linkedin.com/in/benkepes/,
y,y,y,y,m,Jeremy,Koerber,Director of Technical Operations ,BranchOut,"Director of Technical Operations , BranchOut",,,Speaker,y,"Jeremy Koerber is the Director of Technical Operations at BranchOut and has over 15 years of experience in the architecture, implementation, and support of internet infrastructure. At BranchOut, his primary role is in the design, deployment, and operational support of the company's cloud based server and network infrastructure. Jeremy was formerly the Director of Network Engineering at Art.com where he successfully grew the company's web infrastructure along with its support team to meet the demands of several rapidly growing international e-commerce sites. Jeremy is passionate about building efficient, automated solutions that can address the needs of any quickly evolving technical organization.",,,,@jeremykoerber,,http://www.linkedin.com/in/jeremykoerber,
y,y,y,y,m,Peter ,Krey,President and Founder,Krey Associates,"President and Founder, Krey Associates",,,Speaker,y,"Peter is Founder & President of Krey Associates, a boutique technology advisory and management consulting firm. Established in 2003, clients include Wall Street CIO’s & CTO’s, early stage technology company CEO’s & CTO’s, and technology venture capital firms. Client projects include: open source enterprise cloud, open networking, hands on research and engineering of disruptive technologies incl. multiple BigData POC’s and one of Wall Street’s largest global grid computing infrastructures, views and insights into key technology trends, business development in support of technology investment banking, product technology strategy and go to market advisory for early stage technology companies, and advisory research for VC & angel investors. Peter has a BS from Worcester Polytechnic Institute High Distinction & attended NYU's Courant Institute of Mathematical Sciences MS-PhD program.",,,,,,,
y,y,y,y,m,Mohit,Lad,CEO,ThousandEyes,"CEO, ThousandEyes",,,Speaker,y,"Mohit Lad is the co-founder and CEO of ThousandEyes, a company building technology to address performance problems for the modern enterprise. Mohit is passionate about building elegant solutions to solve complex problems. He has a Ph.D. in Computer Science from UCLA and has served on the program committee of NANOG (North American Network Operations Group).",,,,@mohitlad,,http://www.linkedin.com/in/mohitlad,
y,y,y,y,m,Avinash,Lakshman,Founder,Hedvig,"Founder, Hedvig",,,Speaker,y,"Co-inventor AMZN Dynamo, Inventor Apache Cassandra and currently the founder of Hedvig Inc.",,,,,,,
y,y,y,y,m,Ratnakar,Lavu,"SVP, Digital Innovation",Kohl's,"SVP, Digital Innovation, Kohl's",,,Speaker,y,"Ratnakar was appointed SVP of Digital Innovation at Kohl's in 2011. He oversees the transformation of Kohls’s omni-channel customer experience. He is focused on creating the best in class experience in retail across mobile, social, kiosk, web, and in-store POS. Ratnakar is also responsible for shaping future innovations and bringing world-class solutions to Kohl's retail environment. Prior to this, Ratnakar was the CTO at Redbox. He transformed the Redbox software and hardware platforms to support the growth of the business to a billion dollar business. Prior to that, Ratnakar started the Macys.com and Bloomingdales.com eCommerce team in 2000, and helped create one of the best online brands in the country. Ratnakar holds an undergraduate degree and a Masters degree in Computer Science and Engineering.",y,,,,,,
y,y,y,y,m,Zhang,Lei,Director of the System Architecture Department,Alibaba Group,"Director of the System Architecture Department, Alibaba Group",,,Speaker,y,"Mr. Zhang Lei is the director of the system architecture department in Alibaba Group. The system architecture department focuses on design, development and maintenance of Alibaba's elastic computing platform, system platform and network architecture. By doing this, the system architecture department provides a solid foundation for the world's largest e-commerce platform and is a crucial department within the Alibaba Group. Prior to Alibaba, Mr. Zhang Lei served at Baidu, the largest Chinese search engine, as technical manager, responsible for design, build out and maintenance of Baidu’s basic system architecture, CDN and other system infrastructure. Besides his passion for technologies, Mr. Zhang Lei is an enthusiast and chef of global gourmet cuisine.",,,,,,,
